id,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2011-09-1145.61569.28111,26.1,20.6,23.1,0.1,6.6
2011-09-251.2914103.864,28.8,25.0,27.0,5.5,17.5
2011-10-0934.8431136.541,22.5,14.4,18.7,0.0,9.4
2011-10-1634.7333126.417,19.2,15.7,17.3,0.1,26.3
2011-10-3028.348777.5331,29.6,15.6,22.6,0.0,9.0
2011-11-1324.467254.6031,28.2,15.6,22.5,0.0,12.7
2011-11-27-23.7036-46.6997,22.9,17.6,19.5,14.4,13.5
2012-03-18-37.8497144.968,24.0,10.7,17.0,0.0,15.6
2012-03-252.76083101.738,29.2,23.6,25.7,10.2,10.1
2012-04-1531.3389121.22,20.0,9.9,14.8,0.0,9.4
2012-04-2226.032550.5106,25.5,21.0,23.8,0.0,16.8
2012-05-1341.572.26111,21.9,15.6,18.1,2.9,13.3
2012-05-2743.73477.42056,20.2,15.8,18.1,3.8,8.7
2012-06-1045.5-73.5228,25.8,12.6,20.0,0.0,8.5
2012-06-2439.4589-0.331667,30.8,21.7,26.1,0.0,19.8
2012-07-0852.0786-1.01694,18.9,12.3,14.8,10.5,15.1
2012-07-2249.32788.56583,19.6,10.0,15.5,0.0,13.4
2012-07-2947.578919.2486,32.3,19.8,24.2,7.1,13.2
2012-09-0250.43725.97139,19.2,7.3,14.5,0.0,8.5
2012-09-0945.61569.28111,26.9,14.7,21.4,0.0,6.4
2012-09-231.2914103.864,28.2,25.3,26.7,4.4,12.6
2012-10-0734.8431136.541,24.2,15.8,19.5,0.0,16.6
2012-10-1434.7333126.417,21.9,15.0,18.0,0.0,25.4
2012-10-2828.348777.5331,28.0,14.8,21.2,0.0,9.3
2012-11-0424.467254.6031,33.2,21.5,27.9,0.0,21.7
2012-11-1830.1328-97.6411,22.2,7.4,14.1,0.0,14.6
2012-11-25-23.7036-46.6997,21.7,15.1,17.9,16.2,22.4
2013-03-17-37.8497144.968,18.3,12.9,15.0,0.2,27.0
2013-03-242.76083101.738,29.5,23.5,26.1,5.7,8.7
2013-04-1431.3389121.22,25.7,11.1,16.6,0.0,20.9
2013-04-2126.032550.5106,27.7,22.9,25.8,0.0,39.5
2013-05-1241.572.26111,17.7,13.1,14.9,1.4,15.2
2013-05-2643.73477.42056,16.7,9.2,13.9,0.0,10.7
2013-06-0945.5-73.5228,23.2,14.0,17.9,0.3,19.9
2013-06-3052.0786-1.01694,21.2,12.2,16.4,0.0,25.2
2013-07-0750.33566.9475,22.7,11.9,18.0,0.0,15.4
2013-07-2847.578919.2486,34.6,20.5,28.5,0.0,16.6
2013-08-2550.43725.97139,17.6,12.8,14.9,2.7,12.1
2013-09-0845.61569.28111,24.1,17.3,20.5,12.5,14.2
2013-09-221.2914103.864,29.4,27.0,28.0,1.8,17.1
2013-10-0634.7333126.417,24.9,21.9,23.2,0.0,22.5
2013-10-1334.8431136.541,24.0,14.4,18.8,0.0,21.3
2013-10-2728.348777.5331,29.4,17.1,23.2,0.0,12.3
2013-11-0324.467254.6031,35.6,21.7,28.8,0.0,19.7
2013-11-1730.1328-97.6411,29.0,21.9,24.2,0.0,19.5
2013-11-24-23.7036-46.6997,21.0,16.5,18.4,9.4,16.8
2014-03-16-37.8497144.968,21.2,15.8,17.7,0.8,24.8
2014-03-302.76083101.738,30.6,24.7,27.1,2.2,12.6
2014-04-0626.032550.5106,24.0,19.6,22.0,0.0,23.7
2014-04-2031.3389121.22,17.7,11.4,13.9,3.5,14.1
2014-05-1141.572.26111,21.3,14.4,17.5,0.0,20.6
2014-05-2543.73477.42056,19.3,13.4,17.8,0.3,8.7
2014-06-0845.5-73.5228,27.4,14.9,21.3,0.0,13.2
2014-06-2247.219714.7647,23.3,9.5,17.7,0.6,6.3
2014-07-0652.0786-1.01694,18.5,10.8,14.8,0.0,18.4
2014-07-2049.32788.56583,27.5,19.0,22.8,3.1,16.3
2014-07-2747.578919.2486,27.0,18.5,22.3,7.4,14.5
2014-08-2450.43725.97139,14.8,7.3,11.0,0.3,16.4
2014-09-0745.61569.28111,24.5,16.3,20.3,0.0,7.3
2014-09-211.2914103.864,28.8,25.3,27.2,0.9,15.6
2014-10-0534.8431136.541,21.6,18.9,20.0,54.4,36.7
2014-10-1243.405739.9578,26.0,13.0,19.5,0.0,7.0
2014-11-0230.1328-97.6411,23.3,9.9,15.9,0.0,21.1
2014-11-09-23.7036-46.6997,22.8,16.5,19.2,1.4,16.5
2014-11-2324.467254.6031,30.5,16.7,23.7,0.0,17.3
2015-03-15-37.8497144.968,23.5,9.0,15.3,0.0,20.7
2015-03-292.76083101.738,30.5,23.8,26.9,2.6,8.9
2015-04-1231.3389121.22,19.4,8.4,13.3,0.0,25.1
2015-04-1926.032550.5106,26.3,22.8,24.4,0.0,30.7
2015-05-1041.572.26111,25.9,14.2,19.9,0.0,17.9
2015-05-2443.73477.42056,19.0,15.7,17.4,0.2,9.8
2015-06-0745.5-73.5228,20.6,9.5,16.0,0.0,17.9
2015-06-2147.219714.7647,16.5,7.9,12.2,0.7,8.7
2015-07-0552.0786-1.01694,20.3,11.4,16.2,0.5,24.2
2015-07-2647.578919.2486,25.7,17.0,21.6,0.0,24.5
2015-08-2350.43725.97139,24.8,14.7,18.3,10.5,25.1
2015-09-0645.61569.28111,22.4,11.4,17.1,0.0,9.4
2015-09-201.2914103.864,29.0,25.5,27.4,2.6,9.8
2015-09-2734.8431136.541,26.2,17.4,21.2,0.0,11.5
2015-10-1143.405739.9578,19.2,8.5,15.8,6.2,10.6
2015-10-2530.1328-97.6411,18.7,15.1,16.7,12.3,30.2
2015-11-0119.4042-99.0907,20.3,12.5,15.3,7.1,6.6
2015-11-15-23.7036-46.6997,25.1,18.2,21.2,1.2,15.4
2015-11-2924.467254.6031,28.7,19.8,24.2,0.0,20.9
2016-03-20-37.8497144.968,21.2,11.1,16.1,0.0,17.3
2016-04-0326.032550.5106,22.3,16.3,20.6,0.0,14.1
2016-04-1731.3389121.22,20.9,10.7,15.2,4.4,13.2
2016-05-0143.405739.9578,18.5,9.7,15.1,0.6,8.0
2016-05-1541.572.26111,19.5,12.0,16.1,0.0,14.1
2016-05-2943.73477.42056,20.3,15.9,17.9,11.2,15.0
2016-06-1245.5-73.5228,14.9,10.6,12.3,1.3,27.1
2016-06-1940.372549.8533,27.9,24.4,26.7,0.0,25.8
2016-07-0347.219714.7647,14.5,10.1,13.2,0.7,6.9
2016-07-1052.0786-1.01694,20.6,14.5,17.3,1.3,27.5
2016-07-2447.578919.2486,27.8,19.1,23.4,0.1,10.4
2016-07-3149.32788.56583,22.9,14.5,19.9,0.0,15.2
2016-08-2850.43725.97139,24.8,14.3,20.6,0.0,20.4
2016-09-0445.61569.28111,27.5,18.6,23.7,0.0,13.4
2016-09-181.2914103.864,29.1,25.4,27.3,13.4,16.3
2016-10-022.76083101.738,31.3,25.1,28.1,0.3,15.4
2016-10-0934.8431136.541,20.7,14.1,17.1,0.0,27.9
2016-10-2330.1328-97.6411,27.6,14.3,20.4,0.0,15.1
2016-10-3019.4042-99.0907,19.6,10.2,13.5,1.6,13.8
2016-11-13-23.7036-46.6997,18.2,15.7,16.9,17.0,14.4
2016-11-2724.467254.6031,30.4,18.3,24.4,0.0,20.8
2017-03-26-37.8497144.968,30.8,18.7,23.7,0.0,36.6
2017-04-0931.3389121.22,13.2,9.8,11.4,12.5,23.9
2017-04-1626.032550.5106,26.7,23.9,25.3,0.0,38.1
2017-04-3043.405739.9578,25.5,14.0,19.7,0.0,7.6
2017-05-1441.572.26111,22.3,13.9,18.3,0.0,12.5
2017-05-2843.73477.42056,25.0,17.8,22.4,0.0,6.8
2017-06-1145.5-73.5228,28.9,18.5,23.8,0.2,32.4
2017-06-2540.372549.8533,27.3,22.1,24.9,0.4,28.2
2017-07-0947.219714.7647,27.7,15.5,22.2,6.6,8.7
2017-07-1652.0786-1.01694,20.1,11.5,17.6,0.4,18.4
2017-07-3047.578919.2486,29.2,18.8,24.2,0.0,13.5
2017-08-2750.43725.97139,23.0,14.0,18.7,0.4,8.9
2017-09-0345.61569.28111,22.2,13.2,17.6,0.0,9.9
2017-09-171.2914103.864,28.7,25.1,26.5,12.5,17.9
2017-10-012.76083101.738,29.1,23.9,26.2,9.0,11.9
2017-10-0834.8431136.541,25.4,18.7,21.6,1.5,10.6
2017-10-2230.1328-97.6411,25.9,18.9,23.0,19.5,20.6
2017-10-2919.4042-99.0907,20.7,10.3,15.5,0.0,8.4
2017-11-12-23.7036-46.6997,26.4,12.7,19.2,0.0,13.4
2017-11-2624.467254.6031,26.4,16.9,22.6,0.0,23.3
2018-03-25-37.8497144.968,22.7,10.6,15.4,5.5,30.4
2018-04-0826.032550.5106,24.8,22.3,23.9,0.3,21.6
2018-04-1531.3389121.22,18.8,6.7,12.6,0.0,13.6
2018-04-2940.372549.8533,14.6,10.7,13.0,0.0,42.2
2018-05-1341.572.26111,16.8,9.6,13.2,7.2,19.4
2018-05-2743.73477.42056,25.2,20.1,22.8,0.6,17.4
2018-06-1045.5-73.5228,19.6,9.9,15.2,0.0,12.6
2018-06-2443.25065.79167,22.7,15.2,19.7,1.7,13.1
2018-07-0147.219714.7647,19.5,12.5,15.4,0.0,9.1
2018-07-0852.0786-1.01694,28.4,15.2,22.4,0.0,14.1
2018-07-2249.32788.56583,26.0,16.3,21.2,0.9,10.7
2018-07-2947.578919.2486,31.7,19.6,26.3,0.0,7.6
2018-08-2650.43725.97139,17.5,6.3,13.6,3.9,26.7
2018-09-0245.61569.28111,20.4,14.3,17.4,2.0,8.2
2018-09-161.2914103.864,28.5,26.6,27.8,1.5,18.4
2018-09-3043.405739.9578,24.3,14.4,19.5,0.4,6.2
2018-10-0734.8431136.541,25.4,18.0,21.3,0.0,19.9
2018-10-2130.1328-97.6411,21.2,13.3,17.4,0.0,17.7
2018-10-2819.4042-99.0907,18.6,10.8,13.7,1.9,15.8
2018-11-11-23.7036-46.6997,25.4,17.7,20.5,3.3,13.0
2018-11-2524.467254.6031,33.8,22.4,27.4,0.4,32.5
2019-03-17-37.8497144.968,27.1,15.1,20.7,0.0,15.4
2019-03-3126.032550.5106,25.9,22.1,24.5,0.0,42.2
2019-04-1431.3389121.22,19.5,8.1,13.0,0.0,22.1
2019-04-2840.372549.8533,17.8,12.1,15.1,0.0,23.8
2019-05-1241.572.26111,20.4,11.0,15.5,0.0,15.1
2019-05-2643.73477.42056,20.6,13.6,18.1,6.2,7.2
2019-06-0945.5-73.5228,27.0,13.1,20.2,0.0,12.6
2019-06-2343.25065.79167,26.3,16.4,21.4,0.0,12.1
2019-06-3047.219714.7647,30.2,14.1,23.3,0.0,10.1
2019-07-1452.0786-1.01694,19.2,10.7,15.6,0.9,13.9
2019-07-2849.32788.56583,24.9,17.8,20.4,6.6,16.5
2019-08-0447.578919.2486,24.1,14.2,19.5,0.0,12.2
2019-09-0150.43725.97139,17.8,9.6,14.6,0.5,17.2
2019-09-0845.61569.28111,18.7,9.9,15.1,34.7,13.7
2019-09-221.2914103.864,29.7,26.7,28.0,0.7,16.1
2019-09-2943.405739.9578,21.8,12.8,17.4,1.2,11.0
2019-10-1334.8431136.541,21.7,17.0,19.0,2.1,33.2
2019-10-2719.4042-99.0907,20.3,11.2,15.1,2.5,7.2
2020-07-0547.219714.7647,26.3,11.6,21.1,0.0,8.2
2019-11-0330.1328-97.6411,20.4,6.9,13.0,0.0,17.1
2019-11-17-23.7036-46.6997,21.2,12.6,16.6,0.0,16.0
2019-12-0124.467254.6031,28.7,15.5,23.0,0.0,16.8
2020-07-1247.219714.7647,19.4,11.1,15.5,0.0,9.4
2020-07-1947.578919.2486,21.3,12.4,17.1,2.6,12.0
2020-08-0252.0786-1.01694,20.8,11.5,16.6,0.0,16.2
2020-08-0952.0786-1.01694,27.9,15.1,20.2,6.5,21.0
2020-08-1641.572.26111,28.1,20.8,24.6,0.1,12.7
2020-08-3050.43725.97139,18.1,10.0,14.1,8.1,15.9
