precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,year,driverId,grid,driver_age,constructor,driver_count,results
0.4,20.1,11.5,17.6,18.4,9,7,2017,840,15,24,3,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,836,17,29,15,20,1
0.4,20.1,11.5,17.6,18.4,9,7,2017,4,20,42,1,20,0
0.4,20.1,11.5,17.6,18.4,9,7,2017,832,13,29,5,20,0
0.4,20.1,11.5,17.6,18.4,9,7,2017,835,11,32,4,20,0
0.0,29.2,18.8,24.2,13.5,11,7,2017,20,1,36,6,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,8,2,44,6,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,822,3,34,131,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,1,4,38,131,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,830,5,26,9,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,4,7,42,1,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,832,9,29,5,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,815,13,33,10,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,839,11,27,10,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,838,8,31,1,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,826,16,29,5,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,835,10,32,4,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,825,15,31,210,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,840,17,24,3,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,836,18,29,15,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,828,20,33,15,20,1
0.0,29.2,18.8,24.2,13.5,11,7,2017,807,12,36,4,20,0
0.0,29.2,18.8,24.2,13.5,11,7,2017,814,19,37,3,20,0
0.0,29.2,18.8,24.2,13.5,11,7,2017,154,14,37,210,20,0
0.0,29.2,18.8,24.2,13.5,11,7,2017,817,6,34,9,20,0
0.4,23.0,14.0,18.7,8.9,13,8,2017,1,1,38,131,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,20,2,36,6,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,817,6,34,9,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,8,4,44,6,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,822,3,34,131,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,807,7,36,4,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,154,11,37,210,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,13,16,42,3,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,839,9,27,10,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,832,13,29,5,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,840,15,24,3,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,826,19,29,5,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,835,14,32,4,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,838,20,31,1,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,825,12,31,210,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,828,17,33,15,20,1
0.4,23.0,14.0,18.7,8.9,13,8,2017,815,8,33,10,20,0
0.4,23.0,14.0,18.7,8.9,13,8,2017,4,10,42,1,20,0
0.4,23.0,14.0,18.7,8.9,13,8,2017,830,5,26,9,20,0
0.4,23.0,14.0,18.7,8.9,13,8,2017,836,18,29,15,20,0
0.0,22.2,13.2,17.6,9.9,14,9,2017,1,1,38,131,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,822,4,34,131,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,20,6,36,6,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,817,16,34,9,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,8,5,44,6,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,839,3,27,10,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,840,2,24,3,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,13,7,42,3,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,815,10,33,10,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,830,13,26,9,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,825,9,31,210,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,826,8,29,5,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,807,14,36,4,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,832,15,29,5,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,154,20,37,210,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,836,12,29,15,20,1
0.0,22.2,13.2,17.6,9.9,14,9,2017,4,19,42,1,20,0
0.0,22.2,13.2,17.6,9.9,14,9,2017,828,11,33,15,20,0
0.0,22.2,13.2,17.6,9.9,14,9,2017,838,18,31,1,20,0
0.0,22.2,13.2,17.6,9.9,14,9,2017,835,17,32,4,20,0
12.5,28.7,25.1,26.5,17.9,15,9,2017,1,5,38,131,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,817,3,34,9,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,822,6,34,131,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,832,10,29,5,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,815,12,33,10,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,835,11,32,4,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,838,9,31,1,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,840,18,24,3,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,154,15,37,210,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,839,14,27,10,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,13,17,42,3,20,1
12.5,28.7,25.1,26.5,17.9,15,9,2017,836,19,29,15,20,1
